Date,Description,Amount,Category
01-10-2024,"UPI/P2M/427512866092/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
01-10-2024,"UPI/P2M/464184289162/Make My Trip
/Paymen/Axis Bank Ltd.",1764.0,Others
01-10-2024,"UPI/P2M/427550705492/R GAYATHRI
/Paymen/Yes Bank Ltd",30.0,Others
01-10-2024,"UPI/P2M/427589489773/R GAYATHRI
/Paymen/Yes Bank Ltd",10.0,Others
01-10-2024,"UPI/P2M/427504094045/Mr GOPI KRISHNAN T
R /Zomato/Yes Bank Ltd",106.0,Others
01-10-2024,"UPI/P2M/427554528143/Makemytrip India Pvt
/UPIInt/HDFC BANK LTD",1232.0,Others
01-10-2024,"UPI/P2M/427592089956/IRCTC
/Paymen/ICICI Bank",101.8,Travel
01-10-2024,"UPI/P2M/427578019859/Indigo
/JFTWE9/Axis Bank Ltd.",7142.0,Others
01-10-2024,"UPI/P2A/427515996727/RUSHABH MEHTA
/Paymen/HDFC BANK LTD",500.0,Others
01-10-2024,"UPI/P2A/427567243304/CHAITANYA
KANDPAL    /UPI/HDFC BANK LTD",360.0,Others
02-10-2024,"UPI/P2M/427623359277/Mr Murali Dharan K
/Paymen/Yes Bank Ltd",20.0,Others
02-10-2024,"UPI/P2A/464242417843/DEEPALI  MISHRA
/Paymen/State Bank Of India",125.0,Others
02-10-2024,"UPI/P2A/464220523801/DEEPALI  MISHRA
/Paymen/State Bank Of India",7428.0,Others
02-10-2024,"UPI/P2A/464294327780/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",236.0,Others
02-10-2024,"UPI/P2A/464227615193/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",118.0,Others
02-10-2024,"UPI/P2A/464267887301/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",118.0,Others
02-10-2024,"UPI/P2M/427643373999/Pandit Ji
/Payvia/Airtel Payments Bank",118.0,Others
02-10-2024,"UPI/P2M/427792707815/Pandit Ji
/Payvia/Airtel Payments Bank",118.0,Others
02-10-2024,"UPI/P2M/464398125115/NETMEDS
/Paymen/Yes Bank Ltd",3090.93,Others
03-10-2024,"UPI/P2M/464399960463/Chennai Metro Rail
Li/Paymen/Axis Bank Ltd.",96.0,Others
03-10-2024,"UPI/P2M/427703425990/CHENNAI METRO
RAIL LT/Pay/ICICI Bank",96.0,Others
03-10-2024,"UPI/P2A/427701419136/CHAITANYA
KANDPAL    /Paymen/HDFC BANK LTD",178.0,Others
03-10-2024,"UPI/P2A/427706610635/VIJAYAMMA
/Paymen/Federal Bank",181.0,Others
03-10-2024,"UPI/P2A/427766662545/PERAMAIYAN
/UPI/Punjab National Bank",147.0,Others
03-10-2024,"UPI/P2M/427783357034/Blinkit
/Blinki/Yes Bank Ltd",184.0,Others
04-10-2024,"UPI/P2A/427868010655/RUSHABH MEHTA
/Paymen/HDFC BANK LTD",1479.0,Others
04-10-2024,"UPI/P2M/464425987308/Chennai Metro Rail
Li/Paymen/Axis Bank Ltd.",48.0,Others
04-10-2024,"UPI/P2A/427812667329/RUSHABH MEHTA
/Paymen/HDFC BANK LTD",1726.0,Others
04-10-2024,"UPI/P2M/464441580806/Chennai Metro Rail
Li/Paymen/Axis Bank Ltd.",48.0,Others
04-10-2024,"UPI/P2M/464412856358/Chennai Metro Rail
Li/Paymen/Axis Bank Ltd.",32.0,Others
04-10-2024,"UPI/P2A/427856973885/ANBU MANI A
/Paymen/State Bank Of India",54.0,Others
04-10-2024,"UPI/P2M/427846980923/WESTSIDE
/Genera/HDFC BANK LTD",1398.0,Others
04-10-2024,"UPI/P2M/427809876476/WESTSIDE
/Genera/HDFC BANK LTD",6.0,Others
04-10-2024,"UPI/P2M/427822915898/GOKALDAS
INTIMATEWEAR/Paymen/ICICI Bank",4877.05,Others
04-10-2024,"UPI/P2A/427847111458/CHANDRU K
/Paymen/Canara Bank",96.0,Others
04-10-2024,"UPI/P2M/464445091170/Chennai Metro Rail
Li/Paymen/Axis Bank Ltd.",32.0,Others
04-10-2024,"UPI/P2A/464431665767/DEEPALI  MISHRA
/Paymen/State Bank Of India",21000.0,Others
05-10-2024,"UPI/P2M/427920110458/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
05-10-2024,"UPI/P2M/427911689330/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
05-10-2024,"UPI/P2A/427915375223/DEVENDRA SINGH
RANA  /Paymen/ICICI Bank",21000.0,Others
05-10-2024,"UPI/P2M/427903968231/DealsKart Online
Serv/UPI In/ICICI Bank",49.0,Others
05-10-2024,"UPI/P2M/464500736000/Myntra Designs Pvt
Lt/Paymen/Axis Bank Ltd.",1802.0,Shopping
05-10-2024,"UPI/P2M/427976910105/PUNNIYAMUTHY M
BRANCH/Paymen/City Union Bank",15.0,Others
05-10-2024,"UPI/P2M/427995265390/PUNNIYAMUTHY M
BRANCH/Paymen/City Union Bank",30.0,Others
05-10-2024,"UPI/P2M/427923341386/One97 Communications
/Paymen/Yes Bank Ltd",20.0,Others
05-10-2024,"UPI/P2M/427938487611/PUNNIYAMUTHY M
/Paymen/City Union Bank",125.0,Others
05-10-2024,"UPI/P2M/427959194942/ZOMATO LIMITED
/UPIInt/ICICI Bank",681.0,Others
06-10-2024,"UPI/P2A/464637070344/KULDEEP
SHRIVASTAVA /Paymen/State Bank Of India",5000.0,Others
06-10-2024,"UPI/P2A/464600314102/DEEPALI MISHRA
/Top-up/Axis Bank Ltd.",860.0,Others
06-10-2024,"UPI/P2M/464691481224/EVERSUB INDIA
PRIVATE/Paymen/Yes Bank Ltd",816.0,Others
